src,dst,label
1,2,7
1,3,10
1,4,4
1,7,6
1,18,1
1,87,1
1,115,14
1,119,1
1,122,2
1,123,3
1,125,1
1,126,1
1,127,1
1,141,1
1,142,3
1,181,1
1,184,1
1,213,1
1,216,1
1,218,1
1,221,1
2,1,5
2,3,6
2,4,1
2,7,2
2,18,1
2,115,6
2,119,1
2,122,2
2,123,2
2,127,1
2,142,2
3,1,8
3,2,6
3,4,2
3,7,4
3,18,1
3,87,1
3,115,10
3,123,2
3,125,1
3,126,1
3,127,1
3,142,2
3,181,1
3,184,1
3,213,1
3,216,1
3,218,1
3,221,1
4,1,5
4,2,2
4,3,4
4,5,1
4,6,3
4,7,12
4,8,1
4,87,2
4,115,14
4,123,2
4,126,2
4,141,1
4,142,2
4,148,1
4,181,2
4,184,2
4,213,2
4,216,2
4,218,2
4,221,2
5,34,1
5,37,1
6,4,4
6,7,1
6,8,1
6,148,1
7,1,1
7,2,1
7,3,2
7,4,11
7,5,2
7,115,10
7,123,1
7,142,1
7,148,1
8,4,1
8,6,1
9,3,1
9,10,3
9,11,8
9,12,3
9,22,2
9,25,2
9,109,1
9,116,1
9,117,1
9,118,1
9,119,2
9,120,1
9,121,2
9,122,2
9,137,1
9,152,3
9,206,1
10,9,3
10,11,1
10,12,1
10,121,1
10,152,2
11,3,1
11,9,8
11,10,1
11,12,2
11,22,2
11,25,2
11,109,1
11,116,1
11,117,1
11,118,1
11,119,2
11,120,1
11,121,1
11,122,2
11,137,1
11,152,1
11,206,1
12,3,1
12,9,3
12,10,3
12,116,1
12,118,1
12,119,2
12,152,2
13,9,1
13,10,1
13,12,1
13,60,2
13,62,7
13,65,2
13,72,2
13,134,1
13,152,1
13,165,2
14,4,2
14,7,1
14,97,4
14,115,1
14,214,1
15,198,1
16,23,1
16,24,1
16,133,1
16,149,1
16,192,1
17,90,1
18,24,1
18,71,1
18,124,1
18,127,1
18,139,1
18,201,1
19,9,1
19,11,1
19,109,1
20,21,1
20,102,1
20,162,1
20,199,1
21,9,1
21,11,1
21,33,1
21,37,1
21,102,2
21,137,1
21,162,4
21,163,2
21,199,1
21,204,3
21,206,1
22,9,1
22,11,1
22,25,1
22,64,3
22,65,1
22,72,1
22,122,1
22,135,1
22,136,1
22,165,1
22,194,3
23,24,2
23,101,2
23,133,1
23,149,1
23,192,1
24,16,1
24,23,1
24,101,1
24,124,2
25,9,2
25,11,2
25,22,2
25,65,2
25,72,1
25,122,2
25,165,1
27,186,4
30,9,1
30,11,1
30,65,1
30,137,1
30,206,1
31,15,1
31,19,1
31,89,1
31,92,1
31,139,1
34,35,1
34,36,1
34,195,1
35,39,1
35,195,2
36,39,1
36,95,1
36,159,1
36,160,1
36,161,1
36,174,1
36,196,1
36,209,1
37,21,1
37,38,1
37,162,1
37,204,1
38,39,2
38,171,1
38,191,1
39,191,2
40,52,1
50,51,1
51,50,1
52,53,1
53,54,1
54,53,1
56,57,2
57,56,1
60,61,9
60,179,1
60,180,1
61,176,1
61,177,1
62,64,24
62,71,1
62,75,1
63,64,1
63,71,1
63,75,1
64,9,7
64,10,7
64,12,7
64,22,2
64,60,14
64,62,73
64,65,15
64,72,15
64,134,7
64,135,1
64,136,1
64,152,7
64,165,15
64,194,1
65,9,1
65,10,1
65,12,1
65,25,1
65,60,2
65,62,7
65,64,1
65,72,4
65,134,1
65,135,1
65,136,1
65,152,1
65,165,4
65,194,1
66,70,1
66,74,2
69,68,1
70,68,1
71,46,1
71,47,1
71,75,4
72,25,1
72,64,1
72,65,2
72,73,1
72,131,3
72,132,4
72,135,1
72,136,1
72,165,4
72,194,1
73,131,1
73,132,1
74,66,1
75,46,1
75,47,1
75,71,3
75,76,1
76,69,1
77,78,7
77,80,1
77,82,2
78,77,7
78,188,1
80,81,2
80,169,8
82,83,1
82,84,1
82,85,1
82,202,1
82,203,1
84,203,1
85,202,3
85,203,1
87,216,2
87,221,2
87,222,2
87,223,1
87,224,1
87,225,1
87,226,1
87,227,1
87,234,1
88,186,1
90,17,1
92,164,2
92,170,6
92,189,4
95,104,1
95,105,1
95,150,2
95,159,3
95,160,4
95,161,4
95,209,4
96,106,1
96,109,1
97,14,5
97,151,1
97,154,1
97,166,1
97,214,2
97,215,1
97,220,1
98,99,1
99,100,1
99,212,1
101,23,1
102,21,1
102,101,1
102,103,1
102,162,1
102,199,1
104,105,1
105,104,1
105,150,2
109,9,1
109,11,1
109,137,1
109,206,1
115,1,5
115,2,3
115,3,5
115,4,12
115,5,1
115,7,9
115,87,1
115,123,2
115,125,1
115,126,1
115,142,2
115,148,2
115,181,1
115,184,1
115,213,1
115,216,1
115,218,1
115,221,1
116,9,1
116,11,1
116,12,1
116,117,1
116,120,1
116,121,1
117,119,1
117,122,2
118,3,1
118,9,1
118,10,1
118,12,1
118,21,1
118,116,1
118,119,3
118,152,1
118,162,1
118,163,1
119,3,1
119,9,2
119,10,1
119,11,1
119,12,2
119,21,1
119,116,1
119,117,1
119,118,2
119,120,1
119,121,1
119,122,2
119,152,1
119,162,1
119,163,1
120,119,1
120,122,2
121,9,2
121,10,1
121,11,1
121,137,1
121,152,1
121,206,1
122,9,4
122,10,2
122,11,2
122,12,2
122,22,2
122,25,2
122,60,4
122,62,14
122,65,4
122,72,4
122,134,2
122,152,2
122,165,4
123,1,2
123,2,2
123,3,2
123,18,1
123,115,2
123,142,1
125,1,2
125,2,1
125,3,1
125,4,1
125,7,2
125,87,1
125,115,3
125,126,1
125,181,1
125,184,1
125,213,1
125,216,1
125,218,1
125,221,1
126,1,1
126,3,1
126,115,1
126,125,1
127,1,2
127,2,2
127,3,2
127,24,1
127,71,1
127,124,1
127,139,3
127,150,2
127,170,1
127,201,2
128,9,1
128,10,1
128,12,1
128,60,2
128,62,7
128,65,2
128,72,2
128,134,1
128,152,1
128,165,2
129,131,1
129,132,1
130,131,1
130,132,1
131,77,1
131,78,1
131,132,3
132,77,1
132,78,1
132,131,2
133,23,1
133,24,1
133,101,1
134,9,1
134,11,1
134,64,1
134,65,1
134,72,1
134,135,1
134,136,2
134,137,2
134,153,2
134,165,1
134,194,1
135,9,1
135,10,1
135,12,1
135,60,2
135,62,7
135,65,2
135,72,2
135,134,1
135,152,1
135,165,2
136,9,1
136,10,1
136,12,1
136,60,2
136,62,7
136,65,2
136,72,2
136,134,2
136,137,1
136,152,1
136,153,1
136,165,2
137,9,2
137,11,2
137,12,1
137,117,1
137,120,1
137,121,1
137,134,1
137,153,1
139,9,1
139,11,1
139,21,1
139,24,1
139,71,1
139,121,1
139,124,1
139,127,5
139,150,6
139,152,1
139,170,3
139,201,4
139,204,1
141,1,1
141,4,1
141,14,1
141,97,2
141,151,1
141,154,1
141,166,2
141,167,1
141,214,1
141,215,1
141,220,1
142,1,2
142,2,2
142,3,2
142,18,1
142,115,2
142,123,1
143,151,2
144,200,1
145,167,1
148,4,1
148,5,1
148,115,1
149,23,1
149,24,1
149,101,1
150,21,2
150,105,2
150,177,1
150,204,2
151,14,1
151,97,2
151,141,1
151,143,2
151,154,1
151,166,2
151,167,1
151,214,1
151,215,1
151,220,1
152,9,2
152,10,1
152,11,1
152,12,1
152,15,1
152,19,1
152,89,1
152,92,1
152,121,1
152,139,1
153,9,1
153,11,1
153,134,2
153,136,1
153,137,2
154,14,1
154,97,1
154,214,1
158,104,1
158,105,1
158,150,2
159,95,4
159,160,4
159,161,4
159,209,4
160,95,4
160,159,3
160,161,4
160,209,4
161,95,4
161,159,3
161,160,5
161,209,4
162,9,1
162,11,1
162,21,3
162,33,1
162,102,1
162,137,1
162,163,2
162,204,2
162,206,1
163,9,1
163,11,1
163,21,2
163,33,1
163,102,1
163,137,1
163,162,1
163,204,1
163,206,1
164,92,3
164,170,3
164,189,3
165,25,1
165,64,1
165,65,2
165,72,4
165,131,1
165,132,1
165,135,1
165,136,1
165,194,1
166,14,1
166,97,1
166,145,1
166,151,1
166,154,1
166,167,1
166,214,1
166,215,1
166,220,1
167,97,1
167,141,1
167,166,1
169,80,8
169,81,2
170,92,7
170,164,3
170,189,5
175,9,1
