src,dst,label
1,2,7
1,3,10
1,4,4
1,7,6
1,20,1
1,22,1
1,69,3
1,77,1
1,109,14
1,113,1
1,115,1
1,117,2
1,118,3
1,119,2
1,120,2
1,121,1
1,141,1
1,142,3
1,178,1
1,181,1
1,187,2
1,209,1
1,213,1
1,214,1
1,217,1
2,1,5
2,3,6
2,4,1
2,7,2
2,20,1
2,22,1
2,69,2
2,109,6
2,113,1
2,115,1
2,117,2
2,118,2
2,121,1
2,142,2
2,187,1
3,1,7
3,2,5
3,4,2
3,7,4
3,20,1
3,69,1
3,77,1
3,109,10
3,118,2
3,119,2
3,120,2
3,121,1
3,142,2
3,178,1
3,181,1
3,187,1
3,209,1
3,213,1
3,214,1
3,217,1
4,1,5
4,2,2
4,3,4
4,5,1
4,6,3
4,7,12
4,8,2
4,22,1
4,69,2
4,77,2
4,85,1
4,109,14
4,118,2
4,120,2
4,141,1
4,142,2
4,147,1
4,178,2
4,181,2
4,187,3
4,209,2
4,213,2
4,214,2
4,217,2
5,26,1
6,4,4
6,7,1
6,8,1
6,85,1
6,147,1
7,1,1
7,2,1
7,3,2
7,4,11
7,5,2
7,22,1
7,69,1
7,85,1
7,109,10
7,118,1
7,142,1
7,147,1
7,187,3
8,4,2
8,6,2
9,10,1
9,11,7
9,12,2
9,30,1
9,34,2
9,99,1
9,110,1
9,111,1
9,112,1
9,113,2
9,114,1
9,115,1
9,117,2
9,130,1
9,152,1
9,203,1
11,9,8
11,10,1
11,12,2
11,30,1
11,34,2
11,99,1
11,110,1
11,111,1
11,112,1
11,113,2
11,114,1
11,115,1
11,117,2
11,130,1
11,152,1
11,203,1
12,9,1
12,10,1
12,110,1
12,112,1
12,113,2
12,152,1
13,9,1
13,10,1
13,12,1
13,58,2
13,60,7
13,63,1
13,68,1
13,133,1
13,152,1
13,164,1
14,4,2
14,7,1
14,88,1
14,109,1
14,208,2
14,210,1
14,212,1
15,198,2
15,199,1
16,17,2
16,18,2
16,31,1
16,134,2
16,135,2
16,136,3
17,16,1
17,18,3
17,31,1
17,134,1
17,135,1
17,136,1
18,16,1
18,17,3
18,31,1
18,134,1
18,135,1
18,136,1
18,143,1
19,80,2
19,133,1
19,143,1
19,185,1
19,186,1
20,21,1
20,67,1
20,201,1
22,24,1
22,25,1
22,36,1
22,182,1
24,36,1
24,182,1
25,36,1
25,182,1
29,9,1
29,11,1
29,130,1
29,161,1
29,162,1
29,202,1
29,203,1
30,9,1
30,11,1
30,34,1
30,62,3
30,63,1
30,68,1
30,117,1
30,164,1
30,194,2
31,16,1
31,17,2
31,18,2
31,134,1
31,135,1
31,136,1
32,91,2
32,127,1
33,32,1
33,91,1
33,127,1
34,9,2
34,11,2
34,30,1
34,117,2
35,184,2
36,37,1
36,182,1
38,9,1
38,11,1
38,130,1
38,203,1
41,42,1
41,43,1
41,195,1
42,46,1
42,195,2
43,46,1
43,85,1
43,86,1
43,157,1
43,158,1
43,159,1
43,160,1
43,205,1
45,46,2
45,190,1
46,190,2
58,59,8
58,176,1
58,177,1
60,62,24
60,67,1
60,71,1
61,62,1
61,67,1
61,71,1
62,9,7
62,10,7
62,12,7
62,30,2
62,58,14
62,60,73
62,63,8
62,68,8
62,133,7
62,152,7
62,164,8
64,66,1
67,71,2
68,69,1
68,123,4
68,125,4
68,126,4
68,164,1
69,68,1
69,123,4
69,125,4
69,126,4
69,164,1
70,227,1
70,228,1
71,67,1
71,72,1
72,65,1
73,74,1
74,73,1
77,213,1
77,218,1
78,184,1
80,19,1
80,133,1
80,185,1
80,186,1
82,163,2
82,168,5
82,189,4
85,183,1
86,94,1
86,95,1
86,150,2
86,157,1
86,158,5
86,159,3
86,160,3
86,205,3
88,14,2
88,154,1
88,165,1
88,210,2
88,212,2
88,224,1
90,208,1
91,32,1
92,91,1
94,131,1
95,131,1
99,9,1
99,11,1
99,130,1
99,203,1
106,107,1
106,138,1
107,106,1
107,108,1
108,107,1
109,1,6
109,2,4
109,3,6
109,4,12
109,5,1
109,7,9
109,20,1
109,22,1
109,69,1
109,77,1
109,85,2
109,118,2
109,119,2
109,120,2
109,142,2
109,147,2
109,178,1
109,181,1
109,187,2
109,209,1
109,213,1
109,214,1
109,217,1
110,9,1
110,11,1
110,12,1
110,111,1
110,114,1
110,115,1
111,69,1
111,109,1
111,113,1
111,115,1
111,117,2
112,9,1
112,10,1
112,12,1
112,16,1
112,17,1
112,18,1
112,29,1
112,31,1
112,78,1
112,110,1
112,113,3
112,134,1
112,135,1
112,136,1
112,152,1
112,161,1
112,162,1
113,9,2
113,10,1
113,11,1
113,12,2
113,16,1
113,17,1
113,18,1
113,29,1
113,31,1
113,69,1
113,78,1
113,110,1
113,111,1
113,112,2
113,114,1
113,115,2
113,117,2
113,134,1
113,135,1
113,136,1
113,152,1
113,161,1
113,162,1
114,69,1
114,109,1
114,113,1
114,115,1
114,117,2
115,9,2
115,10,1
115,11,1
115,12,1
115,110,1
115,112,1
115,113,2
115,130,1
115,152,1
115,203,1
116,21,1
116,204,1
117,9,4
117,10,2
117,11,2
117,12,2
117,30,1
117,34,2
117,58,4
117,60,14
117,63,2
117,68,2
117,133,2
117,152,2
117,164,2
118,1,2
118,2,2
118,3,2
118,20,1
118,109,2
118,142,1
119,1,2
119,3,1
119,4,1
119,7,2
119,77,1
119,109,2
119,120,2
119,178,1
119,181,1
119,209,1
119,213,1
119,214,1
119,217,1
120,1,2
120,2,1
120,3,3
120,4,1
120,7,2
120,69,1
120,109,5
120,118,1
120,119,1
120,142,1
120,187,1
121,1,1
121,2,1
121,3,1
121,21,1
121,22,1
121,67,1
121,201,1
122,9,1
122,10,1
122,12,1
122,58,2
122,60,7
122,63,1
122,68,1
122,133,1
122,152,1
122,164,1
123,70,1
123,73,1
123,74,1
123,75,1
123,125,3
123,126,3
124,123,1
124,125,1
124,126,1
125,70,1
125,73,1
125,74,1
125,75,1
125,123,3
125,126,3
126,70,1
126,73,1
126,74,1
126,75,1
126,123,3
126,125,3
127,32,1
127,91,1
128,9,1
128,11,1
128,130,1
128,153,1
129,128,1
129,130,1
129,153,1
130,9,2
130,11,2
130,12,1
130,111,1
130,114,1
130,115,1
130,128,1
130,153,1
134,16,2
134,17,2
134,18,2
134,31,1
134,135,2
134,136,3
135,16,1
135,17,2
135,18,2
135,31,1
135,134,1
135,136,2
136,16,3
136,17,2
136,18,2
136,31,1
136,134,3
136,135,2
138,1,1
138,2,1
138,3,1
138,20,1
138,21,1
138,29,1
138,67,1
138,109,1
138,201,1
138,202,1
141,1,1
141,4,1
141,14,1
141,88,2
141,154,1
141,165,2
141,166,1
141,210,1
141,212,1
141,224,1
142,1,2
142,2,2
142,3,2
142,20,1
142,109,2
142,118,1
143,19,1
147,4,1
147,5,1
147,109,1
147,187,1
148,116,1
149,32,1
149,91,1
149,127,1
150,29,2
150,109,1
150,131,2
150,202,2
153,9,1
153,11,1
153,128,1
153,130,1
154,14,1
154,210,1
154,212,1
157,86,1
157,94,1
157,95,1
157,150,2
157,158,1
158,86,7
158,94,1
158,95,1
158,150,2
158,157,3
158,159,3
158,160,3
158,205,3
159,86,4
159,158,4
159,160,3
159,205,3
160,86,4
160,158,4
160,159,3
160,205,3
161,9,1
161,11,1
161,29,1
161,130,1
161,162,1
161,202,1
161,203,1
162,9,1
162,11,1
162,29,1
162,130,1
162,161,1
162,202,1
162,203,1
163,82,2
163,168,2
163,189,2
164,68,1
164,123,1
164,125,1
164,126,1
165,14,1
165,88,1
165,154,1
165,210,1
165,212,1
165,224,1
168,82,5
168,163,1
168,189,3
172,9,1
172,11,1
172,30,1
172,34,1
172,117,1
172,150,1
173,150,1
174,150,1
175,9,1
175,11,1
175,30,1
175,34,1
175,117,1
176,58,1
176,59,7
177,58,1
177,59,7
178,181,1
178,215,1
179,117,1
180,117,1
182,36,2
184,35,2
184,78,1
185,80,1
189,82,3
189,163,1
189,168,3
190,46,1
192,32,1
192,91,1
192,127,1
194,30,1
194,62,1
195,42,1
195,43,1
195,140,1
195,196,1
196,140,1
196,195,1
197,1,1
197,2,1
